video_id,feat
0,[8]
1,"[27, 9]"
2,[9]
3,[26]
4,[5]
5,[6]
6,[19]
7,[8]
8,[12]
9,[11]
10,[5]
11,[11]
12,[19]
13,"[28, 19]"
14,[7]
15,[18]
16,[26]
17,"[2, 11]"
18,"[6, 26]"
19,[13]
20,[12]
21,[2]
22,[5]
23,"[11, 7]"
24,[11]
25,[8]
26,[12]
27,"[11, 5]"
28,[20]
29,[20]
30,[5]
31,[5]
32,[1]
33,[9]
34,[8]
35,[6]
36,[9]
37,[2]
38,[1]
39,[28]
40,[11]
41,[7]
42,[20]
43,[5]
44,[25]
45,"[1, 2]"
46,[11]
47,[5]
48,[4]
49,[1]
50,[11]
51,[6]
52,[7]
53,[19]
54,[2]
55,[26]
56,[12]
57,[8]
58,[15]
59,[11]
60,[3]
61,[11]
62,[28]
63,[8]
64,[11]
65,"[4, 11]"
66,[11]
67,[8]
68,[6]
69,[28]
70,[5]
71,"[9, 15]"
72,"[5, 11]"
73,[8]
74,[14]
75,[11]
76,[8]
77,[9]
78,[9]
79,[4]
80,[1]
81,[1]
82,[1]
83,[8]
84,[20]
85,"[1, 25]"
86,[11]
87,"[12, 11]"
88,[14]
89,"[26, 5]"
90,[9]
91,[7]
92,"[6, 9]"
93,"[20, 9]"
94,"[11, 8]"
95,"[6, 9]"
96,[19]
97,[11]
98,[6]
99,[11]
100,[11]
101,[11]
102,"[9, 25]"
103,[12]
104,[15]
105,"[19, 21]"
106,"[11, 26]"
107,[8]
108,[1]
109,"[18, 5]"
110,[1]
111,[23]
112,[28]
113,[19]
114,[20]
115,[6]
116,[22]
117,[7]
118,[28]
119,[13]
120,[9]
121,[13]
122,[9]
123,[5]
124,"[19, 11]"
125,"[5, 8]"
126,[28]
127,[7]
128,"[11, 12, 9]"
129,[18]
130,"[15, 20]"
131,"[9, 28]"
132,[20]
133,[17]
134,[1]
135,"[5, 20]"
136,"[11, 28]"
137,[28]
138,[1]
139,"[5, 11]"
140,[8]
141,[5]
142,[28]
143,[3]
144,[5]
145,[1]
146,[11]
147,[26]
148,"[11, 28, 19]"
149,[25]
150,[19]
151,"[28, 9]"
152,[7]
153,[7]
154,[7]
155,[6]
156,[12]
